"[wowow_2, pc, 2024-10-30 08:57:49.555, 2024-10-30 08:57:44.449, 2024-10-30 08:57:44.325, page_view, 8d127198-59f1-40c6-a83b-29c29ebf5439, , f99d8fb02cde46ddb4119c3de07d02ef, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, a2e2bb423df3466286e0dfee365d8ed0, 192.168.65.1, , , , 174a731f-8e8d-4525-ae65-4c5386bd7694, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:44.000, , , , , 2024-10-30 08:57:44.449, com.snowplowanalytics.snowplow, page_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:57:50.339, 2024-10-30 08:57:44.529, 2024-10-30 08:57:44.325, page_ping, 173ad33a-0908-4434-98cc-8c2d925645fa, , f99d8fb02cde46ddb4119c3de07d02ef, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, a2e2bb423df3466286e0dfee365d8ed0, 192.168.65.1, , , , 5817b45f-f1cd-446b-a641-0bc832e790e5, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:44.000, , , , , 2024-10-30 08:57:44.529, com.snowplowanalytics.snowplow, page_ping, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:57:50.343, 2024-10-30 08:57:44.537, 2024-10-30 08:57:44.325, unstruct, 40f7b2f6-cd55-4989-b3ef-c84810dac622, , f99d8fb02cde46ddb4119c3de07d02ef, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, a2e2bb423df3466286e0dfee365d8ed0, 192.168.65.1, , , , 72d2724d-907f-48e5-bc36-1b8c7f8c7eb4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , {\"schema\":\"iglu:com.snowplowanalytics.snowplow/unstruct_event/jsonschema/1-0-0\",\"data\":{\"schema\":\"iglu:com.snowplowanalytics.mobile/screen_view/jsonschema/1-0-0\",\"data\":{\"id\":\"085f56c7-c2e8-4b73-a339-e46ff73754eb\",\"name\":\"phucdinh02\"}}}, , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:44.000, , , , , 2024-10-30 08:57:44.537, com.snowplowanalytics.mobile, screen_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:57:52.003, 2024-10-30 08:57:49.341, 2024-10-30 08:57:49.333, page_view, bd9e7308-fb33-4036-ac96-6ab879e745f4, , fe03447f838f419f89fe51d70fa51da9, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 0a74fed6585447d3ba735c604d365729, 192.168.65.1, , , , cb246934-a653-4d47-8df8-296510426b4f, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:49.000, , , , , 2024-10-30 08:57:49.341, com.snowplowanalytics.snowplow, page_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:57:52.008, 2024-10-30 08:57:49.350, 2024-10-30 08:57:49.333, page_ping, bab851cc-f7bf-4b24-973b-cdb21f3ac60c, , fe03447f838f419f89fe51d70fa51da9, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 0a74fed6585447d3ba735c604d365729, 192.168.65.1, , , , fe39590e-0a36-4215-b7bd-f6878a07bd5a, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:49.000, , , , , 2024-10-30 08:57:49.350, com.snowplowanalytics.snowplow, page_ping, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:57:52.012, 2024-10-30 08:57:49.359, 2024-10-30 08:57:49.333, unstruct, 221ceb09-907d-47be-b283-53547a8c4c1f, , fe03447f838f419f89fe51d70fa51da9, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 0a74fed6585447d3ba735c604d365729, 192.168.65.1, , , , 538c72ae-d48b-4a4b-931f-143789b0c9a8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , {\"schema\":\"iglu:com.snowplowanalytics.snowplow/unstruct_event/jsonschema/1-0-0\",\"data\":{\"schema\":\"iglu:com.snowplowanalytics.mobile/screen_view/jsonschema/1-0-0\",\"data\":{\"id\":\"e066751e-0669-4a78-8d84-26bb9a1f62da\",\"name\":\"phucdinh02\"}}}, , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:49.000, , , , , 2024-10-30 08:57:49.359, com.snowplowanalytics.mobile, screen_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:57:59.353, 2024-10-30 08:57:54.345, 2024-10-30 08:57:54.338, page_view, aba75f32-bee7-44bf-be2f-ce8d41ad0676, , baac30015bb544599ab7493a8f19f693, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, c47bfced8a5942d1a0fbeee3a71b9747, 192.168.65.1, , , , 452b07e5-4afb-4525-81bf-2f8fb830a76a, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:54.000, , , , , 2024-10-30 08:57:54.345, com.snowplowanalytics.snowplow, page_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:57:59.356, 2024-10-30 08:57:54.356, 2024-10-30 08:57:54.338, page_ping, 8e8353ec-b817-4e53-99cb-5d3f6ce1a79a, , baac30015bb544599ab7493a8f19f693, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, c47bfced8a5942d1a0fbeee3a71b9747, 192.168.65.1, , , , bcd8dbcf-66b1-47e6-9168-2e75436275d3, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:54.000, , , , , 2024-10-30 08:57:54.356, com.snowplowanalytics.snowplow, page_ping, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:57:59.358, 2024-10-30 08:57:54.365, 2024-10-30 08:57:54.338, unstruct, f674bd3c-c81b-45be-9cb0-b423e49828bb, , baac30015bb544599ab7493a8f19f693, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, c47bfced8a5942d1a0fbeee3a71b9747, 192.168.65.1, , , , 7f6cb610-3f51-421d-ad5c-6d79468727b2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , {\"schema\":\"iglu:com.snowplowanalytics.snowplow/unstruct_event/jsonschema/1-0-0\",\"data\":{\"schema\":\"iglu:com.snowplowanalytics.mobile/screen_view/jsonschema/1-0-0\",\"data\":{\"id\":\"5d5b8e71-af61-4989-adf7-e768427ab17d\",\"name\":\"phucdinh02\"}}}, , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:54.000, , , , , 2024-10-30 08:57:54.365, com.snowplowanalytics.mobile, screen_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:04.364, 2024-10-30 08:57:59.356, 2024-10-30 08:57:59.340, page_view, a1944443-6357-4d18-9dc8-fe632e7c739c, , b1b341cbaaa4498f999e95916c897dd1, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 0a5b674f50d74a5ab81d4490d7abfa20, 192.168.65.1, , , , 09eeb915-5c52-4db6-b303-244a0ca0dbf3, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:59.000, , , , , 2024-10-30 08:57:59.356, com.snowplowanalytics.snowplow, page_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:04.367, 2024-10-30 08:57:59.387, 2024-10-30 08:57:59.340, page_ping, 471492e3-a6bd-4518-b2c4-3fee8449fe2b, , b1b341cbaaa4498f999e95916c897dd1, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 0a5b674f50d74a5ab81d4490d7abfa20, 192.168.65.1, , , , ed908f73-d21d-445b-ab22-65e79f9ff528, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:59.000, , , , , 2024-10-30 08:57:59.387, com.snowplowanalytics.snowplow, page_ping, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:04.369, 2024-10-30 08:57:59.418, 2024-10-30 08:57:59.340, unstruct, 9def18f3-0aaa-43f7-b00f-98d35875d32c, , b1b341cbaaa4498f999e95916c897dd1, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 0a5b674f50d74a5ab81d4490d7abfa20, 192.168.65.1, , , , 2977f296-561f-4c6b-bae6-b130a06087ba, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , {\"schema\":\"iglu:com.snowplowanalytics.snowplow/unstruct_event/jsonschema/1-0-0\",\"data\":{\"schema\":\"iglu:com.snowplowanalytics.mobile/screen_view/jsonschema/1-0-0\",\"data\":{\"id\":\"fe77fefa-50e1-499d-9c9a-9a95a01c7a2d\",\"name\":\"phucdinh02\"}}}, , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:57:59.000, , , , , 2024-10-30 08:57:59.418, com.snowplowanalytics.mobile, screen_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:05.267, 2024-10-30 08:58:04.350, 2024-10-30 08:58:04.346, page_view, ecd3d87e-8f5e-4f0e-a4c5-578ae4ccd59d, , e787740dca1a4085ac73cc54bb292619, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 3ec877cb911a4110b3160c5e928620d7, 192.168.65.1, , , , 53799ad4-686b-4121-9b0c-2c880d5b2979, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:58:04.000, , , , , 2024-10-30 08:58:04.350, com.snowplowanalytics.snowplow, page_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:09.386, 2024-10-30 08:58:04.377, 2024-10-30 08:58:04.346, page_ping, e2ff16d7-4844-43bb-8dfd-6c359c81cbe2, , e787740dca1a4085ac73cc54bb292619, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 3ec877cb911a4110b3160c5e928620d7, 192.168.65.1, , , , bcd226d7-171a-4334-a426-7b74a7d6ed4b, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:58:04.000, , , , , 2024-10-30 08:58:04.377, com.snowplowanalytics.snowplow, page_ping, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:09.390, 2024-10-30 08:58:04.392, 2024-10-30 08:58:04.346, unstruct, 169f9cc5-5369-453a-8389-6271b0d7e690, , e787740dca1a4085ac73cc54bb292619, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 3ec877cb911a4110b3160c5e928620d7, 192.168.65.1, , , , 23b8ff5f-ebb6-413e-b992-c6ac3382f971, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , {\"schema\":\"iglu:com.snowplowanalytics.snowplow/unstruct_event/jsonschema/1-0-0\",\"data\":{\"schema\":\"iglu:com.snowplowanalytics.mobile/screen_view/jsonschema/1-0-0\",\"data\":{\"id\":\"e62883f8-aa97-41e8-949c-7efb031a1bd0\",\"name\":\"phucdinh02\"}}}, , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:58:04.000, , , , , 2024-10-30 08:58:04.392, com.snowplowanalytics.mobile, screen_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:09.987, 2024-10-30 08:58:09.365, 2024-10-30 08:58:09.358, page_view, 7d67b69e-37f0-4e05-b30c-e904f1870db8, , 99ee6acfa87b402fb168e91073f5583c, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, f9a9350d542d40a98cce3fd02d1c4b03, 192.168.65.1, , , , 3b738c59-0a14-4c68-9719-45fcb7303174, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:58:09.000, , , , , 2024-10-30 08:58:09.365, com.snowplowanalytics.snowplow, page_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:09.990, 2024-10-30 08:58:09.372, 2024-10-30 08:58:09.358, page_ping, 80b5f807-acf5-4ee1-9916-cce35ffc2a7e, , 99ee6acfa87b402fb168e91073f5583c, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, f9a9350d542d40a98cce3fd02d1c4b03, 192.168.65.1, , , , c356995e-e4ec-43b2-ad32-08eba3c52efa, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:58:09.000, , , , , 2024-10-30 08:58:09.372, com.snowplowanalytics.snowplow, page_ping, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:09.991, 2024-10-30 08:58:09.380, 2024-10-30 08:58:09.359, unstruct, e97c6830-9b6a-49ae-898b-19309a0976c0, , 99ee6acfa87b402fb168e91073f5583c, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, f9a9350d542d40a98cce3fd02d1c4b03, 192.168.65.1, , , , 289475e2-9c46-452c-b691-03706ecc4df0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , {\"schema\":\"iglu:com.snowplowanalytics.snowplow/unstruct_event/jsonschema/1-0-0\",\"data\":{\"schema\":\"iglu:com.snowplowanalytics.mobile/screen_view/jsonschema/1-0-0\",\"data\":{\"id\":\"efcb77ac-1a47-4ae6-b0cb-998343efff42\",\"name\":\"phucdinh02\"}}}, , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:58:09.000, , , , , 2024-10-30 08:58:09.380, com.snowplowanalytics.mobile, screen_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:14.988, 2024-10-30 08:58:14.368, 2024-10-30 08:58:14.361, page_view, 5e727e2f-3624-4cc6-a73b-cbc9f2cd47f2, , ca8161c07a87430e9ab94557b6a5ca40, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 0842d9f20960454c93a53ec3805c1475, 192.168.65.1, , , , 4f7dd3b7-64af-45d2-9530-765362074339, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:58:14.000, , , , , 2024-10-30 08:58:14.368, com.snowplowanalytics.snowplow, page_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:14.990, 2024-10-30 08:58:14.375, 2024-10-30 08:58:14.361, page_ping, 2d4aa1a3-5aba-42d4-94b6-5583ba360b0c, , ca8161c07a87430e9ab94557b6a5ca40, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 0842d9f20960454c93a53ec3805c1475, 192.168.65.1, , , , da919d6e-298a-4907-a0d1-457339821dc8, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:58:14.000, , , , , 2024-10-30 08:58:14.375, com.snowplowanalytics.snowplow, page_ping, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:14.993, 2024-10-30 08:58:14.383, 2024-10-30 08:58:14.362, unstruct, 57158d0b-ca16-4843-a04e-d7d56fd9c869, , ca8161c07a87430e9ab94557b6a5ca40, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 0842d9f20960454c93a53ec3805c1475, 192.168.65.1, , , , 408d4f74-0040-4ac7-817e-711d55e8bc53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , {\"schema\":\"iglu:com.snowplowanalytics.snowplow/unstruct_event/jsonschema/1-0-0\",\"data\":{\"schema\":\"iglu:com.snowplowanalytics.mobile/screen_view/jsonschema/1-0-0\",\"data\":{\"id\":\"254c3936-9c86-4412-a0bc-c56eae662a7b\",\"name\":\"phucdinh02\"}}}, , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:58:14.000, , , , , 2024-10-30 08:58:14.383, com.snowplowanalytics.mobile, screen_view, jsonschema, 1-0-0, , ]"
"[wowow_2, pc, 2024-10-30 08:58:19.978, 2024-10-30 08:58:19.381, 2024-10-30 08:58:19.363, page_view, ea11dfcb-3f1d-4ba4-9d35-7fee6053d553, , c4f3ca5e1cb8488fa4f1efd363d14091, py-1.0.3, ssc-3.1.0-kafkasink, snowplow-stream-enrich-3.8.0, 10bdb92a32774fb1b3ed26d7183abb97, 192.168.65.1, , , , 692800e5-7352-4c02-8e93-ecdfb41b66fa, , , , , , , , , , , , https://www.snowplow.io, Homepage, , https, www.snowplow.io, 443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , python-requests/2.32.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2024-10-30 08:58:19.000, , , , , 2024-10-30 08:58:19.381, com.snowplowanalytics.snowplow, page_view, jsonschema, 1-0-0, , ]"
